id,Rel,updated_by,name,category_id,TK1,cat1,price,FINAL SUB SUB CAT,FINAL SUB CAT,FINAL CAT,SUB CAT ID,SUB CAT ID.1,CAT ID,TAGS,image
25382,Y,,Retro colorful Dog,2069,2168,2168,1200,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"dog figurine, retro decor, colorful art statue, muscular dog sculpture, modern home decor, pop art figurine, living room accent, quirky showpiece, animal statue, office desk decor",https://api.zulushop.in/uploads/products/scaled_1000252388.jpg
25383,Y,,Brass Face Sculpture,2069,2168,2168,2100,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"brass face sculpture, leaf art figurine, modern showpiece, abstract home decor, metal art statue, tabletop accent, contemporary sculpture, living room decor, unique centerpiece, nature inspired decor",https://api.zulushop.in/uploads/products/scaled_1000252386.jpg
25386,Y,,Face Sculpture,2069,2168,2168,1100,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"face sculpture, black art figurine, modern showpiece, abstract home decor, contemporary sculpture, tabletop accent, unique centerpiece, minimalist decor, living room art, hand face statue",https://api.zulushop.in/uploads/products/scaled_1000252374.jpg
25656,Y,,Laughung Budha,2069,2168,2168,1250,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"laughing buddha statue, feng shui decor, home decor showpiece, prosperity figurine, good luck statue, tabletop accent, golden buddha idol, living room art, spiritual home decor, gift for housewarming",https://zulushop.in/uploads/media/2025/scaled_1000028467_1768573274634_26vus4.jpg
25814,Y,,hand statue,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"hand face sculpture, abstract art figurine, modern showpiece, contemporary home decor, bronze finish statue, tabletop accent, unique centerpiece, minimalist decor, living room art, decorative statue",https://zulushop.in/uploads/media/2025/scaled_bf0893c1_5fb3_41af_8222_971d2cec93b67392193298910208672_1760788447526_w48m4g.jpg
25816,Y,,red hand statue,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"red hand face sculpture, abstract art figurine, modern showpiece, contemporary home decor, tabletop accent, unique centerpiece, minimalist decor, living room art, decorative statue, surreal face sculpture",https://zulushop.in/uploads/media/2025/scaled_1000028508_1768574996492_t6w54a.jpg
25819,Y,,Hand Sculpture,2069,2168,2168,1800,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"hand face sculpture, bronze finish statue, abstract art figurine, modern showpiece, contemporary home decor, tabletop accent, unique centerpiece, living room art, decorative statue, surreal face sculpture",https://zulushop.in/uploads/media/2025/scaled_cf1e041e_3936_40af_87d8_373a2ca6a7e06208958413465875017_1760788986300_4s5vkh.jpg
25820,Y,,wings men statue,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"winged men statue, abstract art figurine, modern showpiece, angel sculpture decor, contemporary home decor, tabletop accent, unique centerpiece, living room art, decorative statue, sculptural art piece",https://zulushop.in/uploads/media/2025/scaled_ae158eb0_b295_4a32_8313_a32d3e9a67083008046564436933066_1760788997013_hsuc1n.jpg
25821,Y,,Hand Sculptures,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"yellow hand face sculpture, abstract art figurine, modern showpiece, contemporary home decor, tabletop accent, unique centerpiece, minimalist decor, living room art, decorative statue, surreal face sculpture",https://zulushop.in/uploads/media/2025/scaled_0db44e7d_d7d0_4f52_b8ef_52d737ef20845985743008829580794_1760789085960_rkun1t.jpg
25824,Y,,Hand Sculptures,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"gold hand face sculpture, abstract art figurine, modern showpiece, contemporary home decor, bronze finish statue, tabletop accent, unique centerpiece, living room art, decorative statue, surreal face sculpture",https://zulushop.in/uploads/media/2025/scaled_49c3744a_25aa_431f_9705_8b1712375c5c1595369310861220342_1760789183201_tmqc9n.jpg
25826,Y,,black shinobi,2069,2168,2168,800,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"black ninja figurine, shinobi art statue, hooded warrior sculpture, modern showpiece, contemporary home decor, tabletop accent, unique centerpiece, minimalist decor, living room art, decorative statue",https://zulushop.in/uploads/media/2025/scaled_0d2a1344_faeb_4828_978f_7ec3e991d6328901625303210963753_1760789422529_s7tfib.jpg
25827,Y,,Women Sculpture,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"african woman sculpture, gold headdress figurine, elegant lady bust, ethnic art showpiece, modern home decor, tabletop accent, unique centerpiece, living room art, decorative statue, sculptural art piece",https://zulushop.in/uploads/media/2025/scaled_5a7b4071_4b80_46a1_8f6a_f63a0e1ed0843127331825335599803_1760789468112_y037sl.jpg
25828,Y,,face statue,2069,2168,2168,1800,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"face hand sculpture, abstract art figurine, bronze finish statue, modern showpiece, contemporary home decor, tabletop accent, unique centerpiece, living room art, decorative statue, surreal face sculpture",https://zulushop.in/uploads/media/2025/scaled_2a54ada4_b834_4087_b6c5_6d888d301d244036829270338542093_1760791666358_814blz.jpg
25834,Y,,lord shiva statue,2069,2168,2168,3500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"lord shiva statue, shiva art figurine, hindu god decor, trishul holding sculpture, religious showpiece, spiritual home decor, tabletop accent, unique centerpiece, living room art, decorative statue",https://zulushop.in/uploads/media/2025/scaled_f64f05a5_8056_4353_a799_ffbf101cfde52423011190789052298_1761215232311_b1d7b6.jpg
25836,Y,,hercules statue,2069,2168,2168,2100,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"hercules statue, greek mythology figurine, heroic art sculpture, muscular man showpiece, bronze finish decor, modern home decor, tabletop accent, unique centerpiece, living room art, decorative statue",https://zulushop.in/uploads/media/2025/scaled_b0b55eaa_86b1_4ce3_b02d_2a662c7ebc099008829519954224456_1761215664768_mb8m8w.jpg
25838,Y,,hercules lifting statue,2069,2168,2168,1800,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"hercules lifting statue, greek mythology figurine, heroic art sculpture, muscular man showpiece, bronze finish decor, modern home decor, tabletop accent, unique centerpiece, living room art, decorative statue",https://zulushop.in/uploads/media/2025/scaled_5edba66c_36df_4230_9f10_c48cecc28eed2813443919458467052_1761215883289_2gczrf.jpg
25840,Y,,hercules stone lifting statue,2069,2168,2168,2500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"hercules stone lifting statue, greek mythology figurine, heroic art sculpture, muscular man showpiece, bronze finish decor, modern home decor, tabletop accent, unique centerpiece, living room art, decorative statue",https://zulushop.in/uploads/media/2025/scaled_5df12f3b_e8a3_4944_871e_2158c062862a4160310251823868385_1761216017425_ku5r2y.jpg
25844,Y,,bulldog guitar statue,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"bulldog guitar statue, animal musician figurine, dog art sculpture, bronze finish decor, modern showpiece, quirky home accent, unique centerpiece, tabletop art figurine, living room decor, decorative statue",https://zulushop.in/uploads/media/2025/scaled_bb28a399_e583_40bd_ad6e_211ff2ad8a6f7924214050998785518_1761216505954_i7ey7i.jpg
25845,Y,,bulldog statue,2069,2168,2168,1800,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"bulldog statue, animal musician figurine, dog art sculpture, bronze finish decor, musical showpiece, quirky home accent, unique centerpiece, tabletop art figurine, living room decor, decorative statue",https://zulushop.in/uploads/media/2025/scaled_04b1e05a_dc82_4714_af1a_7ee006558d554194979572811811078_1761216584174_ocytj0.jpg
25847,Y,,black deer statue,2069,2168,2168,2500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"black deer statue, modern art figurine, gold antler decor, animal showpiece, contemporary home accent, unique centerpiece, tabletop sculpture, stylish living room decor, decorative statue, elegant desk ornament",https://zulushop.in/uploads/media/2025/scaled_577f34f5_80ac_4a69_a703_2056b81501955107419633644836468_1761216755403_7gbjic.jpg
25855,Y,,hand on face statue,2069,2168,2168,1800,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"abstract art figurine, modern home decor, hand sculpture, face statue, tabletop showpiece, contemporary art piece, decorative bust, unique gift idea, living room accent, creative art decor",https://zulushop.in/uploads/media/2025/scaled_1000028581_1768579368224_rplfo7.jpg
25858,Y,,eagle statue,2069,2168,2168,3500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"eagle art figurine, golden bird statue, modern home decor, tabletop showpiece, decorative sculpture, unique gift idea, bird bust art, living room accent, contemporary art piece, symbolic decor",https://zulushop.in/uploads/media/2025/scaled_18e8641f_f955_4435_82d5_3b6745f2b0667799986539277494394_1761217619417_gvbdcf.jpg
25863,Y,,face sculpture,2069,2168,2168,3200,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"abstract face sculpture, modern home decor, gold art figurine, tabletop showpiece, decorative bust, unique gift idea, living room accent, contemporary art piece, silence gesture statue, creative art decor",https://zulushop.in/uploads/media/2025/scaled_4f4295c3_aad3_4b3c_a31a_a77fa68b0f33699289214180306830_1761217931589_9arnrv.jpg
25871,Y,,zebra lady statue,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"zebra lady figurine, african art decor, modern home decor, tabletop showpiece, animal sculpture, tribal art statue, unique gift idea, decorative art piece, living room accent, ethnic home decoration",https://zulushop.in/uploads/media/2025/scaled_e7ad82fe_5497_45d0_b704_e1f6f05970033044031201972568121_1761218515577_4gbe8f.jpg
25872,Y,7227,Jaguar statue,1874,2168,2168,3000,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"jaguar art figurine, animal sculpture, modern home decor, tabletop showpiece, decorative statue, unique gift idea, living room accent, contemporary art piece, big cat decor, wildlife themed decor",https://zulushop.in/uploads/media/2025/scaled_1000001713_1768574394885_db83ht.jpg
25874,Y,,giraffe lady statue,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"giraffe lady figurine, african art decor, modern home decor, animal sculpture, tabletop showpiece, tribal art statue, unique gift idea, decorative art piece, living room accent, ethnic home decoration",https://zulushop.in/uploads/media/2025/scaled_d70405a4_b0e8_4a73_84d1_4e013b6c49291608741758133994094_1761218684201_yiml47.jpg
25875,Y,,elephant sculpture,2069,2168,2168,2400,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"elephant art figurine, animal sculpture, modern home decor, tabletop showpiece, decorative statue, unique gift idea, living room accent, contemporary art piece, wildlife themed decor, ornate elephant decor",https://zulushop.in/uploads/media/2025/scaled_068ab7cc_7211_4082_ad54_e9a1234031a73573338049617959330_1761218837091_t256dp.jpg
25876,Y,,Face Figures,2069,2168,2168,1800,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"expressive face figurines, modern home decor, tabletop showpiece, decorative art figurines, unique gift idea, living room accent, emotion sculpture set, contemporary art piece, black and silver decor, creative art decor",https://zulushop.in/uploads/media/2025/scaled_33a47879_e933_47bf_99a4_88651ca172bb7537780469323996086_1761218845013_3n88d2.jpg
25877,Y,,Marble Brass Bird,2069,2168,2168,1500,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"marble brass bird figurine, modern home decor, tabletop showpiece, decorative art piece, bird sculpture, unique gift idea, living room accent, contemporary art figurine, luxury home accessory, metal and marble decor",https://zulushop.in/uploads/media/2025/scaled_08907db2_2e33_48ce_8cf6_2547849379b22127942312247405028_1761219052488_rz3xxr.jpg
25882,Y,,African Figurine,2069,2168,2168,1100,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"african figurine decor, tribal art sculpture, modern home decor, tabletop showpiece, decorative art figurine, unique gift idea, living room accent, ethnic home decoration, gold and black statue, cultural mask art",https://zulushop.in/uploads/media/2025/scaled_e1a7adaf_c2e2_4ed4_a387_49780e84995d7509780807905993011_1761219370384_wh9aaz.jpg
26040,Y,,Milton opper bottle,2201,2094,2094,1230,Bar & Drinkware,,Home Needs,2094,,2201,"milton copper bottle, copper water bottle, bar and drinkware, healthy water bottle, ayurvedic copper bottle, 1000ml copper bottle, eco friendly drinkware, modern kitchen accessory, premium water bottle, digestion aid bottle",https://zulushop.in/uploads/media/2025/scaled_c48c8a6e_7c51_47c4_bf74_6b4d17bfc0e01926543617696188112_1761902762444_5l6t8x.jpg
25885,Y,,Horse Figurine,2069,2168,2168,700,Art Figurines,Showpieces,Home Decor,2168,2169,2069,"horse figurine decor, modern home decor, tabletop showpiece, decorative art piece, animal sculpture, unique gift idea, living room accent, black and gold statue, equestrian themed decor, contemporary art figurine",https://zulushop.in/uploads/media/2025/scaled_993ce8db_f735_4a55_81b4_70de8216ca637864642063872313748_1761219570174_16q5db.jpg
26042,Y,,Milton thermosteel vacuum insulated bottle,2201,2094,2094,1250,Bar & Drinkware,,Home Needs,2094,,2201,"milton thermosteel bottle, vacuum insulated bottle, stainless steel water bottle, hot and cold bottle, 1000ml thermosteel flask, premium drinkware, leakproof water bottle, travel friendly bottle, modern kitchen accessory, bar and drinkware",https://zulushop.in/uploads/media/2025/scaled_7c4ad1b2_c531_442f_912b_f9678ef0b5417606594467281296097_1761902822406_1c8ydj.jpg
26043,Y,,Milton copper bottle,2201,2094,2094,1230,Bar & Drinkware,,Home Needs,2094,,2201,"milton copper bottle, copper water bottle, healthy water bottle, ayurvedic copper bottle, 1000ml copper bottle, bar and drinkware, eco friendly drinkware, modern kitchen accessory, premium water bottle, digestion aid bottle",https://zulushop.in/uploads/media/2025/scaled_ce4275ad_7be9_46c2_87b7_1154040737ca5264057756342586070_1761902872006_dud5ju.jpg
26044,Y,,Milton thermosteel vacuum insulated bottle,2201,2094,2094,1085,Bar & Drinkware,,Home Needs,2094,,2201,"milton thermosteel bottle, vacuum insulated bottle, stainless steel water bottle, hot and cold bottle, 750ml thermosteel flask, leakproof water bottle, travel friendly bottle, modern kitchen accessory, premium drinkware, bar and drinkware",https://zulushop.in/uploads/media/2025/scaled_2be8807f_de78_47ae_a88c_55400b5b5ed46000387116172606495_1761902927257_7lgws6.jpg
26046,Y,7227,Milton thermosteel vacuum insulated bottle,2201,2094,2094,1085,Bar & Drinkware,,Home Needs,2094,,2201,"milton thermosteel bottle, vacuum insulated bottle, stainless steel water bottle, hot and cold bottle, 750ml thermosteel flask, flip lid water bottle, leakproof water bottle, travel friendly bottle, premium drinkware, bar and drinkware",https://zulushop.in/uploads/media/2025/scaled_5b61113c_0795_4476_8fca_ced40d19c4b48432287775688891468_1761902953687_j96jun.jpg
26055,Y,,Milton cask dispensing jar 8000,2201,2094,2094,1825,Bar & Drinkware,,Home Needs,2094,,2201,"milton cask dispensing jar, glass beverage dispenser, 8000ml drink jar, treo by milton, stainless steel lid jar, home beverage dispenser, bar and drinkware, juice dispenser for parties, cold drink serving jar, self serve drink jar",https://zulushop.in/uploads/media/2025/scaled_53bc94b3_6b3a_4f7a_ace4_ec0ed2e5479d8514389013305727591_1761903504196_7wr7o3.jpg
26058,Y,,Milton thermosteel bottle,2201,2094,2094,1250,Bar & Drinkware,,Home Needs,2094,,2201,"milton thermosteel bottle, vacuum insulated bottle, stainless steel water bottle, hot and cold bottle, 1000ml thermosteel flask, duo dlx 1000 bottle, leakproof water bottle, travel friendly bottle, premium drinkware, bar and drinkware",https://zulushop.in/uploads/media/2025/scaled_362b15c9_dd45_4850_93c9_9d0db8bcc62b2701126242812519946_1761903921911_jmtcv7.jpg
26059,Y,,Milton copper bottle,2201,2094,2094,1230,Bar & Drinkware,,Home Needs,2094,,2201,"milton copper bottle, copper water bottle, healthy water bottle, ayurvedic copper bottle, 1000ml copper bottle, copperas 1000 bottle, eco friendly drinkware, modern kitchen accessory, premium water bottle, bar and drinkware",https://zulushop.in/uploads/media/2025/scaled_f01b1fd2_48ea_42ed_b31c_91aeea6a28014359704058732900518_1761904052431_kv3u1n.jpg
